Year,GDPpercapita,TimeIndex
1960,81.28476375,1960-12-31
1961,84.42643693,1961-12-31
1962,88.9149186,1962-12-31
1963,100.0485917,1963-12-31
1964,114.315161,1964-12-31
1965,118.06338249999999,1965-12-31
1966,89.05358349,1966-12-31
1967,95.33078294,1967-12-31
1968,98.83123469,1968-12-31
1969,106.4963794,1969-12-31
1970,111.2575706,1970-12-31
1971,117.3607381,1971-12-31
1972,121.6922886,1972-12-31
1973,142.27008130000002,1973-12-31
1974,161.7630106,1974-12-31
1975,156.38009499999998,1975-12-31
1976,159.4077985,1976-12-31
1977,184.2728749,1977-12-31
1978,203.5587046,1978-12-31
1979,221.68794739999998,1979-12-31
1980,263.84071980000004,1980-12-31
1981,267.7110103,1981-12-31
1982,271.3335961,1982-12-31
1983,288.3071697,1983-12-31
1984,273.90182660000005,1984-12-31
1985,293.48864710000004,1985-12-31
1986,307.395346,1986-12-31
1987,337.06399619999996,1987-12-31
1988,350.6727391,1988-12-31
1989,342.72389810000004,1989-12-31
1990,363.9640873,1990-12-31
1991,300.0966366,1991-12-31
1992,313.86011010000004,1992-12-31
1993,298.2176638,1993-12-31
1994,342.71751869999997,1994-12-31
1995,370.1013553,1995-12-31
1996,396.0146123,1996-12-31
1997,411.3877208,1997-12-31
1998,409.1943859,1998-12-31
1999,437.5861178,1999-12-31
2000,438.86463039999995,2000-12-31
2001,447.0138966,2001-12-31
2002,466.20080419999994,2002-12-31
2003,541.1352279,2003-12-31
2004,621.3183767,2004-12-31
2005,707.008019,2005-12-31
2006,792.0259698,2006-12-31
2007,1018.166373,2007-12-31
2008,991.4846303999999,2008-12-31
2009,1090.317765,2009-12-31
2010,1345.770153,2010-12-31
2011,1461.671957,2011-12-31
2012,1446.98541,2012-12-31
2013,1452.195373,2013-12-31
2014,1576.0040179999999,2014-12-31
2015,1606.0382849999999,2015-12-31
2016,1717.473878,2016-12-31
2017,1939.612984,2017-12-31
